Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"PCBs","PCB",5,14.00,"","jlcpcb"
"2A Polyfuse","fuse",1,0.20,"https://robu.in/product/1812l200-12dr-littelfuse-1812l200-12dr-resettable-fuse-pptc-1812-4532-metric-polyswitch-1812l-series-12-vdc-2-a-3-5-a-2-s/","robu.in"
"12 MHz crystal","crystal oscillator",1,0.50,"https://robu.in/product/ysx531sl-12mhz-20pf-10ppm-4pad-smd-smt-crystal/","robu.in"
"10k ohm resistor","resistor",30,0.10,"https://robu.in/product/rc0805jr-0710kl-yageo-res-thick-film-0805-10k-ohm-5-0-125w1-8w-%C2%B1100ppm-c-pad-smd-t-r/","robu.in"
"2.7k resistor","resistor",100,0.10,"https://robu.in/product/ac0603fr-7w2k7l-yageo-res-2-7k-ohm-1-1-5w-0603/","robu.in"
"5.1k ohm resistor","resistor",100,0.10,"https://robu.in/product/rc0805jr-075k1l-yageo-smd-chip-resistor-5-1-kohm-%C2%B1-5-125-mw-0805-2012-metric-thick-film-general-purpose/","robu.in"
"56k ohm resistor","resistor",100,0.10,"https://robu.in/product/rc0805fr-0756kl-yageo-res-thick-film-0805-56k-ohm-1-0-125w1-8w-%c2%b1100ppm-c-pad-smd-t-r/","robu.in"
"330 ohm resistors","Resistors",100,1.50,"https://www.amazon.in/Resistor-330-Ohms-0805-pack/dp/B0G1TF1GPT","Amazon"
"10uF Capacitors","Decoupling caps",10,0.10,"https://robu.in/product/0603x106k160nt-fh-16v-10uf-x5r%c2%b110-0603-multilayer-ceramic-capacitors-mlcc-smd-smt-rohs/","robu.in"
"SRVO-5","ESD Protection",10,1.50,"https://robu.in/product/srv05-4mr6t1g-onsemi-srv05-4mr6t1g-esd-protection-device-17-5-v-tsop-6-pins-300-w/","robu.in"
"USB-A connector","downstream ports",5,0.50,"https://www.flyrobo.in/usb-female-90-usb-socket?tracking=ads","flyrobo.in"
"USB-C connector","upstream and downstream ports",2,0.20,"https://www.flyrobo.in/usb-3.1-type-c-16-pin-onboard-horizontal-smt-female-connector?tracking=ads","flyrobo.in"
"FE1.1s","Main IC",1,1.10,"https://robu.in/product/fe1-1s-bsop28bcn-terminus-tech-ssop-28-150mil-usb-converters-rohs/","robu.in"